YearStart,LocationAbbr,DataValue,Stratification1
2019,RI,39.4,Hispanic
2019,OR,23.6,Hispanic
2019,SD,238.3,"White, non-Hispanic"
2019,SC,195.8,"Black, non-Hispanic"
2019,SC,30.6,Hispanic
2019,SC,53.6,"Asian, non-Hispanic"
2019,OH,46.3,"Asian, non-Hispanic"
2019,SC,236.4,"White, non-Hispanic"
2019,OK,48.6,Hispanic
2019,OH,276.9,"White, non-Hispanic"
2019,RI,58.0,"Asian, non-Hispanic"
2019,PA,14.1,"Multiracial, non-Hispanic"
2019,OK,259.3,"Black, non-Hispanic"
2019,PA,227.2,"Black, non-Hispanic"
2019,OH,47.8,Hispanic
2019,OR,134.7,"Hawaiian or Pacific Islander, non-Hispanic"
2019,SD,133.4,"American Indian or Alaska Native, non-Hispanic"
2019,OR,37.9,"Multiracial, non-Hispanic"
2019,PA,51.8,Hispanic
2019,TN,20.3,"Multiracial, non-Hispanic"
2019,VT,232.2,"White, non-Hispanic"
2019,WA,58.3,"Asian, non-Hispanic"
2019,UT,72.4,"American Indian or Alaska Native, non-Hispanic"
2019,US,131.8,"American Indian or Alaska Native, non-Hispanic"
2019,VA,29.8,Hispanic
2019,VA,16.3,"Multiracial, non-Hispanic"
2019,TX,127.6,"Hawaiian or Pacific Islander, non-Hispanic"
2019,TX,54.5,"Asian, non-Hispanic"
2019,UT,32.7,Hispanic
2019,TX,70.1,"American Indian or Alaska Native, non-Hispanic"
2019,TN,283.4,"White, non-Hispanic"
2019,US,259.8,"White, non-Hispanic"
2019,WV,300.1,"White, non-Hispanic"
2019,WA,32.3,"Multiracial, non-Hispanic"
2019,TX,172.7,"Black, non-Hispanic"
2019,WA,126.2,"Black, non-Hispanic"
2019,UT,46.5,"Asian, non-Hispanic"
2019,VA,187.6,"Black, non-Hispanic"
2019,WA,33.9,Hispanic
2019,TN,53.0,"Asian, non-Hispanic"
2019,VA,54.3,"Asian, non-Hispanic"
2019,US,197.6,"Black, non-Hispanic"
2019,VA,105.3,"American Indian or Alaska Native, non-Hispanic"
2019,TX,78.3,Hispanic
2019,TN,26.6,Hispanic
2019,TN,206.1,"Black, non-Hispanic"
2019,WA,128.1,"Hawaiian or Pacific Islander, non-Hispanic"
2019,US,146.0,"Hawaiian or Pacific Islander, non-Hispanic"
2019,WV,178.4,"Black, non-Hispanic"
2019,TX,251.3,"White, non-Hispanic"
2019,UT,73.6,"Black, non-Hispanic"
2019,TX,15.7,"Multiracial, non-Hispanic"
2019,US,69.0,Hispanic
2019,VA,216.3,"White, non-Hispanic"
2019,US,78.9,"Asian, non-Hispanic"
2019,UT,144.3,"White, non-Hispanic"
2019,US,33.3,"Multiracial, non-Hispanic"
2019,WA,155.4,"American Indian or Alaska Native, non-Hispanic"
2019,UT,105.1,"Hawaiian or Pacific Islander, non-Hispanic"
2019,WA,202.3,"White, non-Hispanic"
2020,CO,21.3,"Multiracial, non-Hispanic"
2019,WI,238.8,"White, non-Hispanic"
2020,AZ,279.2,"White, non-Hispanic"
2020,AR,34.1,Hispanic
2019,WI,43.6,"Asian, non-Hispanic"
2020,AZ,159.5,"Black, non-Hispanic"
2020,DE,34.0,Hispanic
2020,AR,336.1,"White, non-Hispanic"
2020,CA,214.1,"Hawaiian or Pacific Islander, non-Hispanic"
2020,DE,51.5,"Asian, non-Hispanic"
2020,AK,78.5,"Asian, non-Hispanic"
2020,CA,256.0,"Black, non-Hispanic"
2020,CT,57.9,Hispanic
2020,CO,54.6,"Asian, non-Hispanic"
2020,AL,112.8,"American Indian or Alaska Native, non-Hispanic"
2020,CA,201.5,"American Indian or Alaska Native, non-Hispanic"
2020,AZ,117.6,"American Indian or Alaska Native, non-Hispanic"
2020,AK,69.8,"Multiracial, non-Hispanic"
2020,AZ,54.9,"Multiracial, non-Hispanic"
2020,AL,35.3,Hispanic
2020,CT,259.9,"White, non-Hispanic"
2020,AZ,71.1,Hispanic
2019,WI,181.9,"Black, non-Hispanic"
2020,CT,44.8,"Asian, non-Hispanic"
2020,CA,55.4,"Multiracial, non-Hispanic"
2020,AR,245.6,"Black, non-Hispanic"
2020,AL,65.3,"Asian, non-Hispanic"
2020,CT,163.6,"Black, non-Hispanic"
2020,AZ,67.3,"Asian, non-Hispanic"
2020,AL,344.3,"White, non-Hispanic"
2020,CO,167.2,"White, non-Hispanic"
2020,CO,69.0,Hispanic
2019,WY,54.6,Hispanic
2020,AL,269.5,"Black, non-Hispanic"
2020,DE,285.0,"White, non-Hispanic"
2020,CA,115.2,"Asian, non-Hispanic"
2020,CO,116.2,"American Indian or Alaska Native, non-Hispanic"
2019,WY,208.9,"White, non-Hispanic"
2020,AR,72.2,"Asian, non-Hispanic"
2020,AK,140.1,"White, non-Hispanic"
2020,AK,167.5,"American Indian or Alaska Native, non-Hispanic"
2019,WI,129.7,"American Indian or Alaska Native, non-Hispanic"
2020,CA,80.3,Hispanic
2020,CO,158.1,"Black, non-Hispanic"
2019,WI,38.5,Hispanic
2020,CA,283.2,"White, non-Hispanic"
2020,DE,180.2,"Black, non-Hispanic"
2020,AZ,149.1,"Hawaiian or Pacific Islander, non-Hispanic"
2020,IA,40.9,"Asian, non-Hispanic"
2020,KS,70.3,"Multiracial, non-Hispanic"
2020,IL,75.3,"Asian, non-Hispanic"
2020,KS,46.7,Hispanic
2020,GA,10.5,"Multiracial, non-Hispanic"
2020,IL,265.7,"Black, non-Hispanic"
2020,KS,224.3,"Black, non-Hispanic"
2020,FL,100.9,"American Indian or Alaska Native, non-Hispanic"
2020,IL,20.7,"Multiracial, non-Hispanic"
2020,ID,154.3,"American Indian or Alaska Native, non-Hispanic"
2020,HI,176.2,"Multiracial, non-Hispanic"
2020,GA,30.3,Hispanic
2020,GA,53.0,"Asian, non-Hispanic"
2020,KY,277.0,"White, non-Hispanic"
2020,ID,77.5,"Asian, non-Hispanic"
2020,GA,183.0,"Black, non-Hispanic"
2020,FL,178.3,"Black, non-Hispanic"
2020,HI,137.1,"Hawaiian or Pacific Islander, non-Hispanic"
2020,IL,272.8,"White, non-Hispanic"
2020,IN,198.8,"Black, non-Hispanic"
2020,KS,251.8,"White, non-Hispanic"
2020,DC,80.7,"White, non-Hispanic"
2020,ID,36.2,Hispanic
2020,KS,186.8,"American Indian or Alaska Native, non-Hispanic"
2020,HI,84.1,"Black, non-Hispanic"
2020,DC,339.9,"Black, non-Hispanic"
2020,FL,120.3,Hispanic
2020,FL,308.8,"White, non-Hispanic"
2020,KS,53.9,"Asian, non-Hispanic"
2020,FL,36.8,"Multiracial, non-Hispanic"
2020,IN,256.5,"White, non-Hispanic"
2020,HI,93.5,Hispanic
2020,DC,60.4,Hispanic
2020,HI,212.5,"Asian, non-Hispanic"
2020,FL,81.2,"Asian, non-Hispanic"
2020,GA,258.3,"White, non-Hispanic"
2020,IN,50.2,Hispanic
2020,IL,56.6,Hispanic
2020,IA,31.6,Hispanic
2020,KY,54.7,"Asian, non-Hispanic"
2020,ID,203.8,"White, non-Hispanic"
2020,IN,37.6,"Asian, non-Hispanic"
2020,IA,142.3,"Black, non-Hispanic"
2020,HI,215.6,"White, non-Hispanic"
2020,KY,33.5,Hispanic
2020,KY,221.7,"Black, non-Hispanic"
2020,IA,269.2,"White, non-Hispanic"
2020,MN,66.7,"Black, non-Hispanic"
2020,MS,341.1,"White, non-Hispanic"
2020,MO,63.5,"Asian, non-Hispanic"
2020,MI,68.3,Hispanic
2020,MO,282.8,"White, non-Hispanic"
2020,MT,243.6,"White, non-Hispanic"
2020,MD,271.7,"White, non-Hispanic"
2020,ME,237.8,"White, non-Hispanic"
2020,MD,71.8,"Asian, non-Hispanic"
2020,MA,22.7,"Multiracial, non-Hispanic"
2020,MI,293.3,"White, non-Hispanic"
2020,MI,74.6,"Asian, non-Hispanic"
2020,MA,51.6,Hispanic
2020,LA,302.8,"White, non-Hispanic"
2020,MN,19.9,"Multiracial, non-Hispanic"
2020,MI,320.9,"Black, non-Hispanic"
2020,MA,47.6,"Asian, non-Hispanic"
2020,MN,37.1,"Asian, non-Hispanic"
2020,MS,269.6,"Black, non-Hispanic"
2020,MT,55.6,Hispanic
2020,LA,251.6,"Black, non-Hispanic"
2020,LA,66.9,Hispanic
2020,MD,38.0,Hispanic
2020,MS,59.0,Hispanic
2020,MS,96.2,"Asian, non-Hispanic"
2020,MI,45.0,"Multiracial, non-Hispanic"
2020,LA,106.3,"American Indian or Alaska Native, non-Hispanic"
2020,MI,163.8,"American Indian or Alaska Native, non-Hispanic"
2020,MT,172.4,"American Indian or Alaska Native, non-Hispanic"
2020,NE,24.4,Hispanic
2020,MN,180.2,"White, non-Hispanic"
2020,MO,18.0,"Multiracial, non-Hispanic"
2020,MN,131.0,"American Indian or Alaska Native, non-Hispanic"
2020,NE,221.3,"White, non-Hispanic"
2020,MN,21.8,Hispanic
2020,MO,82.6,"American Indian or Alaska Native, non-Hispanic"
2020,MA,211.2,"White, non-Hispanic"
2020,MD,213.8,"Black, non-Hispanic"
2020,LA,74.9,"Asian, non-Hispanic"
2020,MO,266.2,"Black, non-Hispanic"
2020,NE,100.1,"Black, non-Hispanic"
2020,MA,120.9,"Black, non-Hispanic"
2020,MO,52.5,Hispanic
2020,NC,169.7,"American Indian or Alaska Native, non-Hispanic"
2020,OK,278.4,"Black, non-Hispanic"
2020,OK,54.8,Hispanic
2020,NY,302.4,"White, non-Hispanic"
2020,NM,108.3,"American Indian or Alaska Native, non-Hispanic"
2020,NM,132.6,Hispanic
2020,NV,273.1,"Hawaiian or Pacific Islander, non-Hispanic"
2020,NJ,80.9,Hispanic
2020,NV,65.9,Hispanic
2020,NY,88.3,"American Indian or Alaska Native, non-Hispanic"
2020,ND,246.3,"American Indian or Alaska Native, non-Hispanic"
2020,OR,215.2,"White, non-Hispanic"
2020,NY,128.3,"Asian, non-Hispanic"
2020,OK,124.5,"Multiracial, non-Hispanic"
2020,OR,57.0,"Asian, non-Hispanic"
2020,OK,205.2,"American Indian or Alaska Native, non-Hispanic"
2020,NC,28.0,Hispanic
2020,NV,51.7,"Multiracial, non-Hispanic"
2020,NJ,308.3,"White, non-Hispanic"
2020,OR,35.7,"Multiracial, non-Hispanic"
2020,OR,31.0,Hispanic
2020,OH,57.0,"Asian, non-Hispanic"
2020,OK,70.0,"Asian, non-Hispanic"
2020,OH,289.6,"White, non-Hispanic"
2020,NC,13.7,"Multiracial, non-Hispanic"
2020,NV,251.3,"Black, non-Hispanic"
2020,OR,123.0,"American Indian or Alaska Native, non-Hispanic"
2020,NM,96.6,"Asian, non-Hispanic"
2020,OK,375.1,"White, non-Hispanic"
2020,NJ,25.1,"Multiracial, non-Hispanic"
2020,NC,43.4,"Asian, non-Hispanic"
2020,NY,300.4,"Black, non-Hispanic"
2020,ND,208.4,"White, non-Hispanic"
2020,NV,213.3,"American Indian or Alaska Native, non-Hispanic"
2020,OR,129.8,"Black, non-Hispanic"
2020,NC,194.7,"Black, non-Hispanic"
2020,NJ,233.4,"Black, non-Hispanic"
2020,NY,26.3,"Multiracial, non-Hispanic"
